Date : 2021-11-11 16:11:30
Directory : d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1
Total : 80 files,  2995 codes, 446 comments, 445 blanks, all 3886 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\settings_parameters.dart                                | Dart       |          4 |          0 |          2 |          6 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\states_data.dart                                        | Dart       |         37 |          2 |          8 |         47 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\helpers\local_navigator.dart                                 | Dart       |          9 |          0 |          2 |         11 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\helpers\responsivness.dart                                   | Dart       |         49 |          2 |         10 |         61 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\layout.dart                                                  | Dart       |         24 |          1 |          3 |         28 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\main.dart                                                    | Dart       |         48 |          4 |          9 |         61 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\authentication\authentication.dart                     | Dart       |         27 |          1 |          4 |         32 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\manual_operations.dart               | Dart       |         49 |          0 |          3 |         52 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operation_card.dart    | Dart       |        157 |        110 |          8 |        275 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_group.dart  | Dart       |        126 |         11 |          7 |        144 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_large.dart  | Dart       |         55 |          5 |          9 |         69 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_medium.dart | Dart       |          0 |          0 |          1 |          1 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_small.dart  | Dart       |          0 |          0 |          1 |          1 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\mechanical_group_icon.dart    | Dart       |        116 |          1 |          5 |        122 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\overview.dart                                 | Dart       |         45 |          0 |          3 |         48 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\info_card.dart                        | Dart       |         66 |          0 |          4 |         70 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\info_card_small.dart                  | Dart       |         49 |          0 |          4 |         53 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_large.dart             | Dart       |         62 |          0 |          4 |         66 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_medium.dart            | Dart       |         71 |          0 |          5 |         76 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_small.dart             | Dart       |         65 |          1 |          5 |         71 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\settings\settings.dart                                 | Dart       |         27 |          1 |          4 |         32 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\states.dart                                     | Dart       |         44 |          0 |          2 |         46 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_datatable.dart                   | Dart       |        168 |         27 |         14 |        209 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_large.dart                       | Dart       |         97 |          7 |          6 |        110 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_medium.dart                      | Dart       |          0 |          0 |          1 |          1 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_small.dart                       | Dart       |         45 |          1 |          5 |         51 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\routing\router.dart                                          | Dart       |         27 |          1 |          9 |         37 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\routing\routes.dart                                          | Dart       |         12 |          0 |          2 |         14 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\custom_text.dart                                     | Dart       |         18 |          0 |          4 |         22 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\horizontal_menu_item.dart                            | Dart       |         61 |          2 |          4 |         67 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\large_screen.dart                                    | Dart       |         18 |          1 |          5 |         24 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\menu_controller.dart                                 | Dart       |         46 |          1 |         14 |         61 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\side_menu.dart                                       | Dart       |         74 |          4 |          6 |         84 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\side_menu_item.dart                                  | Dart       |         24 |          0 |          3 |         27 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\small_screen.dart                                    | Dart       |          9 |          1 |          4 |         14 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\top_nav.dart                                         | Dart       |         93 |          2 |          4 |         99 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\widgets\vertical_menu_item.dart                              | Dart       |         62 |          1 |          4 |         67 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\pubspec.yaml                                                     | YAML       |         29 |         58 |         15 |        102 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\test\widget_test.dart                                            | Dart       |         14 |         10 |          7 |         31 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\web\index.html                                                   | HTML       |         79 |         17 |          6 |        102 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\web\manifest.json                                                | JSON       |         35 |          0 |          1 |         36 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\flutter\generated_plugin_registrant.cc                   | C++        |          3 |          4 |          5 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\flutter\generated_plugin_registrant.h                    | C++        |          5 |          5 |          6 |         16 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\flutter_window.cpp                                | C++        |         45 |          4 |         13 |         62 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\flutter_window.h                                  | C++        |         20 |          5 |          9 |         34 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\main.cpp                                          | C++        |         30 |          4 |         10 |         44 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\resource.h                                        | C++        |          9 |          6 |          2 |         17 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\utils.cpp                                         | C++        |         53 |          2 |         10 |         65 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\utils.h                                           | C++        |          8 |          6 |          6 |         20 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\win32_window.cpp                                  | C++        |        183 |         15 |         48 |        246 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\windows\runner\win32_window.h                                    | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                                                |            |      2,995 |        446 |        445 |      3,886 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
