Date : 2021-11-14 16:23:32
Directory : d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard
Total : 89 files,  3483 codes, 304 comments, 489 blanks, all 4276 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                               |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                             |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                       |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                         |         54 |      2,528 |         60 |        274 |      2,862 |
| lib\classes                                                                                                                 |          1 |         55 |          7 |          8 |         70 |
| lib\classes\http                                                                                                            |          1 |         55 |          7 |          8 |         70 |
| lib\constants                                                                                                               |          2 |         15 |          3 |          6 |         24 |
| lib\controllers                                                                                                             |          1 |         10 |          0 |          4 |         14 |
| lib\data_models                                                                                                             |          5 |        177 |          2 |         49 |        228 |
| lib\helpers                                                                                                                 |          2 |         58 |          1 |         11 |         70 |
| lib\pages                                                                                                                   |         28 |      1,584 |         37 |        126 |      1,747 |
| lib\pages\Parameters                                                                                                        |          7 |        356 |          1 |         37 |        394 |
| lib\pages\Parameters\widget                                                                                                 |          6 |        312 |          1 |         34 |        347 |
| lib\pages\authentication                                                                                                    |          1 |         27 |          0 |          3 |         30 |
| lib\pages\manual_operations                                                                                                 |          8 |        474 |         17 |         35 |        526 |
| lib\pages\manual_operations\widget                                                                                          |          7 |        423 |         17 |         33 |        473 |
| lib\pages\overview                                                                                                          |          6 |        357 |          0 |         23 |        380 |
| lib\pages\overview\widgets                                                                                                  |          5 |        312 |          0 |         21 |        333 |
| lib\pages\settings                                                                                                          |          1 |         27 |          0 |          3 |         30 |
| lib\pages\states                                                                                                            |          5 |        343 |         19 |         25 |        387 |
| lib\pages\states\widgets                                                                                                    |          4 |        299 |         19 |         23 |        341 |
| lib\routing                                                                                                                 |          2 |         44 |          0 |         11 |         55 |
| lib\widgets                                                                                                                 |         11 |        512 |          7 |         50 |        569 |
| test                                                                                                                        |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                         |          2 |        114 |         17 |          7 |        138 |
| windows                                                                                                                     |         10 |        404 |         80 |        131 |        615 |
| windows\flutter                                                                                                             |          2 |          8 |          9 |         11 |         28 |
| windows\runner                                                                                                              |          8 |        396 |         71 |        120 |        587 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                    | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\README.md                                                        | Markdown   |         10 |          0 |          7 |         17 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\analysis_options.yaml                                            | YAML       |          3 |         23 |          4 |         30 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\build.gradle                                         | Groovy     |         53 |          3 |         13 |         69 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\debug\AndroidManifest.xml                        | XML        |          4 |          3 |          1 |          8 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\main\AndroidManifest.xml                         | XML        |         31 |         12 |          3 |         46 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\main\res\drawable-v21\launch_background.xml      | XML        |          4 |          7 |          2 |         13 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\main\res\drawable\launch_background.xml          | XML        |          4 |          7 |          2 |         13 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\main\res\values-night\styles.xml                 | XML        |          9 |          9 |          1 |         19 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\main\res\values\styles.xml                       | XML        |          9 |          9 |          1 |         19 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\profile\AndroidManifest.xml                      | XML        |          4 |          3 |          1 |          8 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\build.gradle                                             | Groovy     |         25 |          0 |          5 |         30 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\gradle.properties                                        | Properties |          3 |          0 |          1 |          4 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\gradle\wrapper\gradle-wrapper.properties                 | Properties |          5 |          1 |          1 |          7 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\settings.gradle                                          | Groovy     |          8 |          0 |          4 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\AppDelegate.swift                                     | Swift      |         12 |          0 |          2 |         14 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON       |        122 |          0 |          1 |        123 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json    | JSON       |         23 |          0 |          1 |         24 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md        | Markdown   |          3 |          0 |          2 |          5 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Base.lproj\LaunchScreen.storyboard                    | XML        |         36 |          1 |          1 |         38 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Base.lproj\Main.storyboard                            | XML        |         25 |          1 |          1 |         27 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Runner-Bridging-Header.h                              | C++        |          1 |          0 |          1 |          2 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\classes\http\http_service.dart                               | Dart       |         55 |          7 |          8 |         70 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\constants\controllers.dart                                   | Dart       |          4 |          0 |          3 |          7 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\constants\style.dart                                         | Dart       |         11 |          3 |          3 |         17 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\controllers\navigation_controller.dart                       | Dart       |         10 |          0 |          4 |         14 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\config.dart                                      | Dart       |          3 |          0 |          2 |          5 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\manual_operation_data.dart                       | Dart       |         63 |          0 |         17 |         80 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\overview_data.dart                               | Dart       |          5 |          0 |          2 |          7 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\parameters_data.dart                             | Dart       |         70 |          0 |         21 |         91 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\states_data.dart                                 | Dart       |         36 |          2 |          7 |         45 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\helpers\local_navigator.dart                                 | Dart       |          9 |          0 |          2 |         11 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\helpers\responsivness.dart                                   | Dart       |         49 |          1 |          9 |         59 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\layout.dart                                                  | Dart       |         25 |          0 |          3 |         28 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\main.dart                                                    | Dart       |         48 |          3 |          6 |         57 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\parameters.dart                             | Dart       |         44 |          0 |          3 |         47 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_large.dart                | Dart       |          9 |          0 |          3 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_medium.dart               | Dart       |          9 |          0 |          3 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_small.dart                | Dart       |          8 |          0 |          4 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_tree.dart                 | Dart       |        153 |          1 |         11 |        165 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_view.dart                 | Dart       |         83 |          0 |          9 |         92 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_view_tile.dart            | Dart       |         50 |          0 |          4 |         54 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\authentication\authentication.dart                     | Dart       |         27 |          0 |          3 |         30 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\manual_operations.dart               | Dart       |         51 |          0 |          2 |         53 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operation_card.dart    | Dart       |         96 |          0 |          5 |        101 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operation_large.dart   | Dart       |         12 |          0 |          3 |         15 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_grid.dart   | Dart       |         75 |          4 |          8 |         87 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_group.dart  | Dart       |        102 |         12 |          7 |        121 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_medium.dart | Dart       |         11 |          0 |          3 |         14 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_small.dart  | Dart       |         12 |          0 |          3 |         15 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\mechanical_group_icon.dart    | Dart       |        115 |          1 |          4 |        120 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\overview.dart                                 | Dart       |         45 |          0 |          2 |         47 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\info_card.dart                        | Dart       |         66 |          0 |          4 |         70 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\info_card_small.dart                  | Dart       |         49 |          0 |          4 |         53 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_large.dart             | Dart       |         62 |          0 |          4 |         66 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_medium.dart            | Dart       |         71 |          0 |          5 |         76 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_small.dart             | Dart       |         64 |          0 |          4 |         68 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\settings\settings.dart                                 | Dart       |         27 |          0 |          3 |         30 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\states.dart                                     | Dart       |         44 |          0 |          2 |         46 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_datatable.dart                   | Dart       |        158 |         13 |         13 |        184 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_large.dart                       | Dart       |         96 |          6 |          6 |        108 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_medium.dart                      | Dart       |          0 |          0 |          1 |          1 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_small.dart                       | Dart       |         45 |          0 |          3 |         48 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\routing\router.dart                                          | Dart       |         30 |          0 |          9 |         39 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\routing\routes.dart                                          | Dart       |         14 |          0 |          2 |         16 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom_text.dart                                     | Dart       |         18 |          0 |          4 |         22 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\editable_textfield.dart                              | Dart       |         50 |          0 |          5 |         55 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\horizontal_menu_item.dart                            | Dart       |         61 |          1 |          3 |         65 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\large_screen.dart                                    | Dart       |         18 |          0 |          4 |         22 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\menu_controller.dart                                 | Dart       |         49 |          0 |         14 |         63 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\side_menu.dart                                       | Dart       |         74 |          3 |          5 |         82 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\side_menu_item.dart                                  | Dart       |         24 |          0 |          3 |         27 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\small_screen.dart                                    | Dart       |          9 |          0 |          3 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\stepper.dart                                         | Dart       |         54 |          2 |          3 |         59 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\top_nav.dart                                         | Dart       |         93 |          1 |          3 |         97 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\vertical_menu_item.dart                              | Dart       |         62 |          0 |          3 |         65 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\pubspec.yaml                                                     | YAML       |         29 |         58 |         15 |        102 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\test\widget_test.dart                                            | Dart       |         14 |         10 |          7 |         31 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\web\index.html                                                   | HTML       |         79 |         17 |          6 |        102 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\web\manifest.json                                                | JSON       |         35 |          0 |          1 |         36 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\flutter\generated_plugin_registrant.cc                   | C++        |          3 |          4 |          5 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\flutter\generated_plugin_registrant.h                    | C++        |          5 |          5 |          6 |         16 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\flutter_window.cpp                                | C++        |         45 |          4 |         13 |         62 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\flutter_window.h                                  | C++        |         20 |          5 |          9 |         34 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\main.cpp                                          | C++        |         30 |          4 |         10 |         44 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\resource.h                                        | C++        |          9 |          6 |          2 |         17 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\utils.cpp                                         | C++        |         53 |          2 |         10 |         65 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\utils.h                                           | C++        |          8 |          6 |          6 |         20 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\win32_window.cpp                                  | C++        |        183 |         15 |         48 |        246 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\win32_window.h                                    | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                                       |            |      3,483 |        304 |        489 |      4,276 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
